gene,n_finite_cells,n_nonzero_cells,mean_count_qc,variance_count,fano,zero_fraction_qc,max_count,target_cells_qc,eligible,dispersion_score,dispersion_stratum,gene_seed,status,n_available_cells,target_cells,n_successful_resamples,mean_count,zero_fraction,median_heldout_gain,median_aux_delta_BIC,point_null_threshold,point_detection_power,bootstrap_probability_K3,bootstrap_probability_K2,bootstrap_probability_ambiguous,stable_state_call,initial_state_call,final_analysis_role,stable_state_call_70_30_split_matched,bootstrap_probability_K3_70_30_split_matched,bootstrap_probability_K2_70_30_split_matched,point_detection_power_70_30_split_matched,median_heldout_gain_70_30
0610007P14Rik,409,300,2.317848410757946,5.938092192179626,2.561898424685092,0.2665036674816626,13.0,200,True,1.5367973355711384,lower_dispersion,907387610,ok,409,200,30,2.317848410757946,0.2665036674816626,-9.545303889524349e-08,-10.147165688676182,0.0077637745532084,0.0666666666666666,0.0,0.971,0.029,K2,K2,stable_K2,,,,,
0610009B22Rik,401,323,4.00997506234414,14.199401745014026,3.541019962531483,0.1945137157107231,26.0,200,True,1.7076653638819446,lower_dispersion,1523916315,ok,401,200,30,4.00997506234414,0.1945137157107231,0.0242661630811673,-3.09590707309502,0.0077637745532084,0.7666666666666667,0.5743333333333334,0.0,0.4256666666666666,ambiguous,ambiguous,ambiguous,,,,,
0610031J06Rik,413,405,13.707021791767554,77.92627030703117,5.685135070977544,0.0193704600484261,58.0,200,True,1.919256875480867,middle,1984262802,ok,413,200,30,13.707021791767554,0.0193704600484261,0.0106081244162485,-7.677233733601383,0.0077637745532084,0.6,0.0163333333333333,0.0013333333333333,0.9823333333333334,ambiguous,ambiguous,ambiguous,,,,,
1110007C09Rik,385,270,3.688311688311688,19.16518805869456,5.1961953539418335,0.2987012987012987,32.0,200,True,2.1226367498005043,middle,2079419095,ok,385,200,30,3.688311688311688,0.2987012987012987,0.0216898510500854,-3.733082093066741,0.0077637745532084,0.8333333333333334,0.68,0.0,0.3199999999999999,ambiguous,ambiguous,ambiguous,,,,,
1110037F02Rik,403,297,2.724565756823821,9.003540444187205,3.3045781411725352,0.2630272952853598,19.0,200,True,1.7227064356044568,lower_dispersion,1651479707,ok,403,200,30,2.724565756823821,0.2630272952853598,-3.4519435665458785e-08,-9.179043555375472,0.0077637745532084,0.2666666666666666,0.0,0.2526666666666666,0.7473333333333334,ambiguous,ambiguous,ambiguous,,,,,
1110038B12Rik,409,351,4.119804400977995,15.034546661007528,3.649335064897376,0.1418092909535452,27.0,200,True,1.6785335035315303,lower_dispersion,527213816,ok,409,200,30,4.119804400977995,0.1418092909535452,1.5276337688163722e-07,-10.133266980197334,0.0077637745532084,0.2333333333333333,0.0,0.493,0.507,ambiguous,ambiguous,ambiguous,,,,,
1110058L19Rik,409,343,4.298288508557457,14.991708562239586,3.4878320830238856,0.1613691931540342,22.0,200,True,1.6627389460184867,lower_dispersion,561751134,ok,409,200,30,4.298288508557457,0.1613691931540342,0.0083660817671047,-9.050949718642016,0.0077637745532084,0.5333333333333333,0.0073333333333333,0.0396666666666666,0.953,ambiguous,ambiguous,ambiguous,,,,,
1500012F01Rik,361,228,2.401662049861496,9.010412750055632,3.751740487624087,0.3684210526315789,21.0,200,True,1.92693202201046,middle,527307401,ok,361,200,30,2.401662049861496,0.3684210526315789,0.0027772093370202,-8.314855022429015,0.0077637745532084,0.3,0.0,0.2106666666666666,0.7893333333333333,ambiguous,ambiguous,ambiguous,,,,,
1700021F05Rik,401,240,2.264339152119701,12.19945149594841,5.387643226734925,0.4014962593516209,37.0,200,True,2.255861637602252,higher_dispersion,945487658,ok,401,200,30,2.264339152119701,0.4014962593516209,0.0005744976001546,-9.562766534025911,0.0077637745532084,0.2333333333333333,0.0,0.3266666666666666,0.6733333333333333,ambiguous,ambiguous,ambiguous,,,,,
1700123O20Rik,409,343,4.171149144254279,15.16875198020098,3.636588253166589,0.1613691931540342,25.0,200,True,1.6953479986679043,lower_dispersion,1768314312,ok,409,200,30,4.171149144254279,0.1613691931540342,0.0073269513180333,-7.717328777870136,0.0077637745532084,0.4666666666666667,0.0023333333333333,0.0273333333333333,0.9703333333333334,ambiguous,ambiguous,ambiguous,,,,,
1810009A15Rik,411,387,6.897810218978102,30.96765943843572,4.489491368323486,0.0583941605839416,38.0,200,True,1.7612297648777755,lower_dispersion,548882172,ok,411,200,30,6.897810218978102,0.0583941605839416,-3.182132637391533e-08,-10.052808721684189,0.0077637745532084,0.1333333333333333,0.0,0.8746666666666667,0.1253333333333333,K2,K2,stable_K2,,,,,
1810013L24Rik,392,300,3.4872448979591835,16.841674042065808,4.829507113745279,0.2346938775510204,33.0,200,True,1.997626331242588,middle,1670812015,ok,392,200,30,3.4872448979591835,0.2346938775510204,1.509111982045397e-07,-10.150347621616106,0.0077637745532084,0.1333333333333333,0.0,0.884,0.1159999999999999,K2,K2,stable_K2,,,,,
1810037I17Rik,405,366,7.474074074074074,55.78019204389574,7.463157508350767,0.0962962962962963,55.0,200,True,2.2320186282196497,higher_dispersion,1791665123,ok,405,200,30,7.474074074074074,0.0962962962962963,-4.290992045241637e-07,-10.151760841405178,0.0077637745532084,0.0333333333333333,0.0,0.989,0.011,K2,K2,stable_K2,,,,,
1810043H04Rik,403,314,2.3746898263027294,6.040748973271185,2.543805471502913,0.2208436724565756,16.0,200,True,1.486044814162144,lower_dispersion,1819232659,ok,403,200,30,2.3746898263027294,0.2208436724565756,4.643361748435383e-08,-10.150347631425973,0.0077637745532084,0.0666666666666666,0.0,0.9863333333333332,0.0136666666666667,K2,K2,stable_K2,,,,,
1810055G02Rik,404,324,2.9183168316831685,9.1195654837761,3.124940165772302,0.198019801980198,18.0,200,True,1.6150713163943191,lower_dispersion,791767571,ok,404,200,30,2.9183168316831685,0.198019801980198,-2.6609549585998592e-08,-10.150347630645854,0.0077637745532084,0.0,0.0,1.0,0.0,K2,K2,stable_K2,,,,,
1810058I24Rik,413,396,7.426150121065375,29.232439657851074,3.936419164881804,0.0411622276029055,34.0,200,True,1.6378024305522405,lower_dispersion,984721436,ok,413,200,30,7.426150121065375,0.0411622276029055,3.091727501569608e-07,-10.073304705069232,0.0077637745532084,0.0666666666666666,0.0,0.9863333333333332,0.0136666666666667,K2,K2,stable_K2,,,,,
2010107E04Rik,413,408,17.75544794188862,114.48983109474756,6.448152221755182,0.0121065375302663,89.0,200,True,2.020072515233235,middle,1132758587,ok,413,200,30,17.75544794188862,0.0121065375302663,0.0005436891866565,-5.658026743361006,0.0077637745532084,0.4,0.0,0.026,0.974,ambiguous,ambiguous,ambiguous,,,,,
