gene,state,seed,BS,BF,Pon,nll,nll_per_cell,n_cells,mmax,boundary_mass,train_best_mean_nll,kon,koff,ksyn,k01,k10,k12,k21,analysis_role
0610007P14Rik,2,202,2.333417635064733,1.0984649525046257,0.09788768965054663,828.448068654703,2.025545400133748,409,70,1.1795384984428811e-17,2.772897381189308,1.2176587547941904,11.221686367571671,26.184880865257245,,,,,stable_K2
1810009A15Rik,2,202,4.395219231461248,1.597201663341472,0.0975423570301648,1205.178657462497,2.932308169008509,411,83,1.1549636641736675e-12,2.772897381189308,1.769835599248018,16.374441954970806,71.96926218493361,,,,,stable_K2
1810013L24Rik,2,303,3.825936568916841,0.8242666995550703,0.07078512021354115,935.6886191772784,2.386960763207343,392,78,9.691605259171463e-18,2.777697630751873,0.887057146291602,11.644632333299175,44.55162467556075,,,,,stable_K2
1810037I17Rik,2,202,6.618847780914777,1.0982189735994154,0.0850595172157266,1245.5428229933311,3.0754143777613114,405,100,1.7508206742419334e-12,2.772897381189308,1.2003173914191705,12.911182775868923,85.45715346504511,,,,,stable_K2
1810043H04Rik,2,101,1.954318797203134,1.2444029023089849,0.09170070007955196,819.0625305237556,2.0324132271060935,403,70,-3.6189406726118934e-19,2.7720772594232392,1.3700361790634146,13.570266107340988,26.520626136625093,,,,,stable_K2
1810055G02Rik,2,101,2.6903721162074157,1.117098783885489,0.0821570919719827,895.4286952755695,2.2164076615731916,404,70,-3.7347095204056475e-18,2.7720772594232392,1.2170914805950537,13.597107164728316,36.581277977069135,,,,,stable_K2
1810058I24Rik,2,101,4.652558101142926,1.6626011944059296,0.10305754422063719,1224.9659960742404,2.966019360954577,413,79,5.072648990243484e-11,2.7720772594232392,1.8536319511838448,16.132746098106566,75.05853855242763,,,,,stable_K2
2310022B05Rik,2,101,8.98769668094563,1.4961394783516078,0.08323684298416122,1469.2882663758476,3.5575987079318345,413,148,5.5664616791040835e-12,2.7720772594232392,1.6319803723588766,17.974486113514683,161.54922918413922,,,,,stable_K2
2410006H16Rik,2,101,4.5323284211552615,1.4807950960143843,0.0917200341765811,1218.1522884671049,2.9495212795813677,413,85,6.616324443499264e-13,2.7720772594232392,1.6303289203037088,16.144729003954907,73.1732141164745,,,,,stable_K2
2610203C20Rik,2,303,3.314351309797486,0.7131190554525311,0.06789133007825833,758.6535368306181,1.9808186340225016,383,75,5.60143700193683e-18,2.777697630751873,0.7650599961830667,10.503830969735294,34.81338593243357,,,,,stable_K2
4833439L19Rik,2,101,2.482177374948679,0.9853528343544528,0.07947946215243479,847.4417571130625,2.0519170874408292,413,70,-1.3344992215152304e-18,2.7720772594232392,1.0704300380505183,12.397578036759114,30.772987707004134,,,,,stable_K2
9030624J02Rik,2,303,2.800125684709023,1.1639437906125751,0.08163197909731196,929.2700628963491,2.2944939824601214,405,70,3.240766339588196e-18,2.777697630751873,1.2674045307767838,14.258429153421105,39.92539369609836,,,,,stable_K2
AI413582,2,303,4.4032671203524965,1.0094857785860767,0.08294839593959978,1076.6673381987634,2.619628560094315,411,73,4.738675768516124e-13,2.777697630751873,1.1007949543039985,12.170045811629079,53.58796257552993,,,,,stable_K2
Aasdhppt,2,303,3.56315016310614,0.7300706341369265,0.06755343693647305,817.3036423499065,2.10103764100233,389,70,6.511319892439319e-17,2.777697630751873,0.7829624378026554,10.80730555313539,38.50805254439226,,,,,stable_K2
