gene,state,n_cells,mmax_cdf,max_abs_cdf_difference,mean_abs_cdf_difference,total_variation_empirical_vs_fit,nll_recomputed,nll_per_cell_recomputed,fsp_boundary_mass_cdf
Adra1d,2,391,70,0.05128472134703066,0.0027937666485365153,0.0746628425225091,791.704961339218,2.024820872990327,8.033908819576124e-18
Adss,2,406,70,0.03633130662493855,0.003220604066911403,0.10279757744120749,838.0817761028273,2.0642408278394764,-1.9619840062419562e-19
Aebp1,2,413,355,0.059915247587359,0.011012162126842952,0.22598140033868241,1868.6848635183715,4.524660686485161,1.027149076073023e-17
Aebp2,2,405,72,0.03631692867635489,0.0037033177378146646,0.0743412621159342,885.6356755338028,2.1867547544044514,2.8521003504449857e-18
Afg3l2,2,407,72,0.043254095288611794,0.004930758817617691,0.0765283613604662,918.1712870235654,2.2559491081660084,9.671470981306654e-16
Ahnak,2,413,285,0.09087298732675153,0.012637083870917365,0.17878943034122818,1780.3657219776014,4.310812886144314,8.8628278135102e-15
Aimp1,2,399,70,0.04037928798189183,0.0026514221185334878,0.08526390176565608,820.4978322108417,2.0563855443880743,-5.774526592718309e-18
Ak2,2,413,100,0.03943645194854073,0.006646449903416752,0.11557901051032664,1265.1974155606945,3.063431998936306,7.547867190497007e-11
Akap12,2,411,134,0.03025929594834431,0.005183074155943472,0.10875402969832258,1265.3183183993592,3.0786333781006308,7.285268929248005e-15
Akt1,2,398,108,0.06816808372686295,0.006157828353133611,0.13000970398620398,1189.610443518609,2.9889709636145954,1.277406130784538e-14
Aldh2,2,401,72,0.04669650755376553,0.0031672001004480832,0.07271436546688523,927.4518579637925,2.3128475260942456,1.88774862663682e-17
Alg5,2,402,70,0.022267265421696436,0.002519535757146944,0.04276147684931307,979.3661069787272,2.436234096962008,7.914978938512151e-15
Amfr,2,409,70,0.0236359327949186,0.0026245927137900807,0.0622821774162241,897.8048193987208,2.195121807820833,1.6146524087242348e-18
Anapc16,2,413,70,0.037007143111432605,0.002650955548213852,0.07031366453262074,1077.6124751853688,2.6092311747829755,4.232807179611523e-14
Anapc4,2,391,70,0.03777258651459636,0.0030267769382936864,0.0597073164921757,775.8819273657917,1.9843527554112321,5.622549262389558e-18
Anp32b,2,393,70,0.06822070246008957,0.002758829272219335,0.12160866777007898,801.5671400863027,2.0396110434765973,-8.752947492206609e-18
Anxa1,2,413,400,0.08165681478355236,0.009286321907402875,0.2573981619865553,2025.2092421005004,4.903654339226393,-5.800324772416509e-18
Anxa2,2,411,400,0.07647601155446726,0.011791868155401695,0.24137463289347652,1947.0488405368865,4.737345110795344,7.209761916602768e-17
Anxa3,2,413,240,0.032141164205928496,0.0051610218568507666,0.15253014977206467,1718.4074239132958,4.160792793978924,1.08238123341183e-15
Anxa4,2,404,82,0.03076475615167462,0.0038451526444919747,0.06951644355325898,1004.4853440987696,2.4863498616306177,7.189762525680129e-16
Anxa5,2,413,209,0.037436117720340834,0.005496962869912328,0.15148981277545276,1643.639683754136,3.9797571035209107,8.843204484275914e-13
Ap2b1,2,411,78,0.04586235938358563,0.0043819069099086784,0.0767025661175403,1083.4031311131996,2.6360173506403886,2.460377694730392e-15
Ap2s1,2,411,82,0.05457786782540908,0.006374812172147866,0.12887081762333402,1218.861906183298,2.9656007449715283,8.785493311418439e-12
App,2,413,134,0.054285862436940335,0.007836717678225587,0.13160710034286618,1435.90824678646,3.476775415947845,8.428438631746428e-11
Aprt,2,413,108,0.08660709482667595,0.009516332487049051,0.1317107234214537,1380.3031073340196,3.3421382744165125,2.8874647938508418e-11
Arcn1,2,401,70,0.019593359110120723,0.0027902380801184995,0.05604284812948511,988.5764114118539,2.4652778339447727,1.8514578924566157e-15
Arf4,2,413,116,0.10637603402842744,0.013149415033412463,0.16443806970323205,1397.0424551224366,3.3826693828630425,1.6492445266857172e-11
Arf6,2,383,72,0.01767334678439314,0.0023128607046220416,0.04401375732067168,912.8442914291443,2.3834054606505073,2.5424804297717583e-17
Arfgap1,2,394,70,0.027080655595246028,0.0013374353223858202,0.07231016549384381,785.0291316096786,1.9924597248976614,-7.427049997020874e-18
Arfip1,2,399,70,0.03301903344111501,0.0026418885397217037,0.05676859442408608,782.3192924424957,1.9606999810588863,-7.301821900463569e-18
Arhgap1,2,413,70,0.022975851128621105,0.0029894437265079754,0.0750130219891063,1113.2679844696602,2.695564127045182,7.021913561410982e-13
Arhgef25,2,400,82,0.02298324493370907,0.0022273659618074703,0.08492419452111098,948.3951377684938,2.3709878444212347,1.9957830206393374e-14
Arid5b,2,395,70,0.028925246619514233,0.0020213157375068356,0.06438651293066562,851.3002086612244,2.155190401673986,-1.4285633455477641e-18
Arl2,2,409,71,0.013802700289054226,0.00123414671874572,0.06161161833386085,1015.8073575449123,2.4836365710144555,1.0402018111974736e-16
Arl4c,2,366,70,0.08855705843320028,0.008220695322368897,0.11083548669829288,720.0672376074325,1.9673968240640232,2.6985606848527202e-11
Arl6ip1,2,405,87,0.08287419589832312,0.009314363182000983,0.11113722142264604,1050.9978050264913,2.595056308707386,9.649329152726209e-11
Arl8b,2,395,70,0.046941139743044036,0.0074101921198134755,0.07231745800836833,967.8055578678541,2.4501406528300103,2.8381175647294112e-14
Arpc3,2,413,70,0.05527728060191406,0.008541585541210733,0.11118090886285105,1105.129066975193,2.6758573050246803,3.8502201138755915e-12
Arpc5,2,413,209,0.042495065781410046,0.007105333795543582,0.15079005276515955,1637.8789005825315,3.965808475986759,5.531333107316123e-11
Arpc5l,2,398,70,0.04345540869486608,0.0028218642318679444,0.07573942122342915,823.4964289713982,2.069086504953262,-1.46023224894007e-17
Asns,2,413,129,0.05394283848153936,0.0042990068294691906,0.1354250210644531,1416.4377536396275,3.429631364744861,1.0451121495768636e-10
Atic,2,409,70,0.04937595425512842,0.0037718484225562226,0.08356325123678507,892.4680742766514,2.1820735312387565,-1.8028424507599573e-18
Atox1,2,413,89,0.039329376122013954,0.006061166163511776,0.11111348761784424,1311.7523219489867,3.1761557432178855,2.309026572982703e-10
Atp13a3,2,407,70,0.025441111470980715,0.001895035421885293,0.07110854871141514,828.0369783550921,2.0344888903073515,-4.960929053977321e-18
Atp1b3,2,413,76,0.017053709765526004,0.0025270464926143523,0.08913449736794737,1208.47001950382,2.9260775290649392,5.5157389646971825e-11
Atp5c1,2,413,193,0.06822639753826332,0.008213984243555149,0.15807104828014792,1604.4584237643207,3.8848872246109463,1.3702321892832691e-11
Atp5j2,2,413,128,0.10836815545416312,0.0160442329223051,0.14749844887714905,1460.9094199243782,3.5373109441268236,4.347590072952191e-11
Atp5o,2,413,100,0.05123381298329266,0.006672415858436556,0.11528341155531482,1340.4968221966524,3.2457550174253083,3.1326912582371836e-11
