group,n,BS_median,BF_median,logBS_IQR,logBF_IQR,logBS_q90q10,logBF_q90q10
stable_K2,223,3.8820582370741854,1.1639437906125751,0.3331951822631435,0.23003618158784017,0.7471941259753525,0.43412071525662277
formal_K3,20,6.124538421677466,1.321776289110153,0.3310721297809003,0.11226247254481055,0.5293934440285644,0.23550308029900033
all_stable,243,4.080847621548559,1.192262168449045,0.3579000032474543,0.22506478483618964,0.7321681056424805,0.43200743508312256
