condition,n_cells,eta,pon,n,nn_bs_med,nn_bf_med,nn_bs_q90,nn_bf_q90,mle_bs_med,mle_bf_med
n500_eta1,500,1.0,0.03,12,0.12533994802656637,0.1243278510698152,0.19245051744444808,0.2131172465955456,0.07453178055821152,0.05113917835957775
n500_eta1,500,1.0,0.05,12,0.09826640808977627,0.1400108499109015,0.2797769423417752,0.2121639346059675,0.0960862648603417,0.03403163929479572
n500_eta1,500,1.0,0.075,12,0.1358243155544815,0.13030756556743686,0.19406809880354486,0.21891084332483485,0.031208510834600904,0.03504569005849991
n500_eta1,500,1.0,0.1,12,0.14270998365384086,0.09623929165078118,0.2736607304217419,0.2445996341826493,0.03570516338156031,0.052179071181598355
n500_eta1,500,1.0,0.125,12,0.13196844627749652,0.09917060755938364,0.327196550808274,0.350768522715377,0.042667900939633865,0.026833445992526836
n500_eta1,500,1.0,0.15,12,0.1284410478332164,0.06153159751163848,0.21726214150795087,0.23786242344203556,0.041496627694854224,0.04989807289062434
n500_eta1,500,1.0,0.175,12,0.14266775683240981,0.10996870422444477,0.3013596001135671,0.3091931969691149,0.02771309386815491,0.03488522492808584
n500_eta1,500,1.0,0.2,12,0.06836004916673807,0.0493658150200257,0.167437932957706,0.17577084088771108,0.07164162942302729,0.059305035330910486
n500_eta1,500,1.0,0.225,12,0.09494303550656619,0.06207658542842541,0.21634935899544772,0.19022553210422613,0.055476733097305574,0.05920166331680422
n500_eta1,500,1.0,0.25,12,0.1096261678084088,0.09747294172651849,0.24567350296369417,0.21332471757838856,0.1001702071665973,0.0719973355113907
n500_eta1,500,1.0,0.3,12,0.1038613213777658,0.11788351529209735,0.20183264023134195,0.18384220445174385,0.08059974094320012,0.0717992054303469
n500_eta1,500,1.0,0.35,12,0.0939202427762623,0.10808676329490395,0.14662355769021732,0.210330901045796,0.052838820033531714,0.0555195977277778
n500_eta1,500,1.0,0.4,12,0.10932046435672982,0.09737880396592344,0.3041162611768372,0.2996678401037771,0.02536581078272365,0.04125022366275628
n500_eta1,500,1.0,0.45,12,0.14630835947216442,0.140879362412209,0.28608887336767,0.2848284608910552,0.1033429922931047,0.09906138145884419
n500_eta1,500,1.0,0.5,12,0.18192735376461483,0.19081694481785044,0.42725005328155125,0.4220042056753475,0.049587178713975416,0.0391626436419775
n500_eta1,500,1.0,0.55,12,0.3042317128090424,0.2826649694134634,0.5832444309511631,0.5523596376163147,0.1654869968678025,0.1635523922832654
n500_eta1,500,1.0,0.6,12,0.39213352164028514,0.3848938166867062,0.6756597483001596,0.6307334126594318,0.25597199533838755,0.2458880959067143
