gene_id,state,kon,koff,ksyn,bs_pred,bf_pred,pon_pred,bs_true,bf_true,pon_true,bs_log10_abs_error,bf_log10_abs_error,pon_abs_error,condition,n_cells,eta,pon_design,switch_total,true_mean,replicate,observed_mean,observed_zero,success,kon_mle,koff_mle,ksyn_obs_mle,ksyn_latent_mle,bs_mle,bf_mle,pon_mle,nll,mle_bs_log10_abs_error,mle_bf_log10_abs_error
0,2,0.01659412959175015,0.5528110790917916,104.53066026707896,180.9151665858883,0.01613205486932036,0.027845673970119972,229.09507445589924,0.00873,0.03,0.10254077554381535,0.26667544678117244,0.002154326029880027,n200_eta1,200,1.0,0.03,0.3,2.0,0,3.275,0.905,True,0.011793698668592662,0.23819436346335857,65.50088565040309,65.50088565040309,274.98923441351326,0.011237306786918937,0.0471770474478401,145.64773782503215,0.07929993995794556,0.10964799388587651
1,2,0.017297809545092226,0.5844339950233037,126.91708251210889,197.9801795532546,0.01680055443444887,0.028746709769644673,229.09507445589924,0.00873,0.03,0.06339403816919922,0.2843093703922314,0.0012532902303553257,n200_eta1,200,1.0,0.03,0.3,2.0,1,2.385,0.93,,,,,,,,,,,
2,2,0.013229080527900476,0.5033954313249981,262.93796729210214,517.0924537337416,0.012893636562615328,0.025356559329855703,916.380297823597,0.00873,0.03,0.24850754340969913,0.16936118073356343,0.004643440670144296,n200_eta1,200,1.0,0.03,0.3,8.0,0,4.295,0.935,True,0.008182545045701352,0.39687757314345734,271.012056286535,271.012056286535,682.8605963798657,0.008017250956211,0.020200816319024012,101.8169693289642,0.12774369026707197,0.03698876559753763
3,2,0.01225802906370647,0.48249384763411224,280.85520690896925,582.0907526305892,0.011738173985278962,0.025651526311930177,916.380297823597,0.00873,0.03,0.19708504335453875,0.12858629870887325,0.004348473688069822,n200_eta1,200,1.0,0.03,0.3,8.0,1,10.8,0.905,,,,,,,,,,,
4,2,0.04226765202909073,0.7595495014756124,46.07754176609153,60.664303875619076,0.04003952009122515,0.05271482637199879,34.364261168384886,0.058199999999999995,0.03,0.24682620740905956,0.16243412121178297,0.022714826371998793,n200_eta1,200,1.0,0.03,2.0,2.0,0,3.095,0.78,True,0.0517716763955103,0.8005612655387218,49.436343887375116,49.436343887375116,61.752105698129064,0.04862700563959781,0.0607411421621495,257.3644741892973,0.2545447602696119,0.07804545730334038
5,2,0.03730592602532451,0.8116703486014434,49.89134225667709,61.46749396801653,0.03538125526496699,0.046701293139609815,34.364261168384886,0.058199999999999995,0.03,0.2525384962657406,0.21614974779529633,0.016701293139609816,n200_eta1,200,1.0,0.03,2.0,2.0,1,2.285,0.8,,,,,,,,,,,
6,2,0.042973470351045984,1.2070361826820049,180.77827799262573,140.9223735177889,0.04149610643667036,0.03376974849517499,137.45704467353954,0.058199999999999995,0.03,0.01081294693437637,0.14691563570640423,0.0037697484951749877,n200_eta1,200,1.0,0.03,2.0,8.0,0,6.265,0.715,True,0.0692801704380293,2.459069999846725,234.2994300135798,234.2994300135798,95.27969111419513,0.06738180126736104,0.027401335167994804,327.5650286162298,0.15916666179783406,0.06361963182037148
7,2,0.03555725259449249,0.9083324447998559,232.37790316932637,245.31581868367115,0.03431154787268054,0.0350337731662908,137.45704467353954,0.058199999999999995,0.03,0.25155855134956,0.22948267413085754,0.005033773166290799,n200_eta1,200,1.0,0.03,2.0,8.0,1,8.255,0.745,,,,,,,,,,,
8,2,0.20161644460874187,1.1056078886121148,11.24476565894136,12.404521739248736,0.17052064130731867,0.14098013305191953,6.872852233676977,0.291,0.03,0.25644301787459384,0.23211603167920364,0.11098013305191953,n200_eta1,200,1.0,0.03,10.0,2.0,0,1.69,0.585,True,0.27146767527888155,240.63671411921092,1500.0,1500.0,6.2334627759956165,0.27116177160150384,0.0011268512063673328,321.6135447419701,0.04240763630771953,0.03066452633057988
9,2,0.32177169747687995,2.047946466509014,19.068923085038204,9.31124099036808,0.27807999317606036,0.13578479600108062,6.872852233676977,0.291,0.03,0.13187056037756728,0.01972324487469733,0.10578479600108062,n200_eta1,200,1.0,0.03,10.0,2.0,1,2.0,0.515,,,,,,,,,,,
10,2,0.3172219836370111,2.396820753701199,94.36878606490251,36.76538194434911,0.2801445325275667,0.11223506670587935,27.49140893470791,0.291,0.03,0.12624208407818382,0.016510838056953716,0.08223506670587935,n200_eta1,200,1.0,0.03,10.0,8.0,0,8.385,0.355,True,0.29462640872208756,3.4602687439538853,107.33587653637326,107.33587653637326,31.019520297063874,0.2715086605062387,0.07846461665171087,579.6727144430056,0.05243807935456113,0.030109301837902273
11,2,0.3090715042530375,1.2370992759334742,61.4532016745209,49.67523857626571,0.2472897166488814,0.19989480348073502,27.49140893470791,0.291,0.03,0.2569429635756534,0.07068693204839735,0.16989480348073502,n200_eta1,200,1.0,0.03,10.0,8.0,1,9.365,0.34,,,,,,,,,,,
