gene_idx,correct,y_true,delta_bic
249,1,0,-12.015481897897189
250,1,0,-12.34877416751715
251,1,0,-11.587852856793688
252,1,0,-11.868395857484302
253,1,0,-12.280098634065325
254,1,0,-12.040805946170167
255,1,0,-12.337024849608042
256,1,0,-12.771833222044279
257,1,0,-11.611777965472356
258,1,0,-12.166698695137711
259,1,0,-12.454955622789385
260,1,0,-11.47068522301197
261,1,0,-11.485619476673037
262,1,0,-12.364268151233318
263,1,0,-12.55152451520371
264,1,0,-12.367076781381911
265,1,0,-11.83063762900747
266,1,0,-11.459773255878645
267,1,0,-12.214496643113307
268,1,0,-12.365452225626086
269,1,0,-12.385881380694173
270,1,0,-12.463169093261968
271,1,0,-12.322603798990713
272,1,0,-0.5333837130192478
273,1,0,-12.58474327674412
274,1,0,-12.623107326410263
275,1,0,-0.6537598634668029
276,1,0,-12.4691005774921
277,1,0,-12.409889256028237
278,1,0,-12.2474377208855
279,0,0,160.47101030751855
280,1,0,-12.600096748652504
281,1,0,-12.459409203636824
282,1,0,-12.725838682116773
283,1,0,-12.347640591414347
284,1,0,-12.538236765353759
285,0,0,683.3814938171345
286,1,0,-12.431460940511897
287,1,0,-12.08336842796507
288,1,0,-12.492215077939363
289,1,0,-12.254498767158111
290,1,0,-12.71714288632711
291,1,0,-12.666876483338001
292,1,0,-11.262960940166977
293,1,0,-12.436126207731832
294,1,0,-12.65628815807895
295,1,0,-12.348204722961782
296,1,0,-12.460093182764467
297,1,0,-12.411105337082518
298,1,0,-12.673982173917466
299,1,0,-12.431580188698263
300,1,0,-12.494425670821784
301,1,0,-11.211304576369912
302,1,0,-0.4644873869215189
303,1,0,-13.00328956025578
304,1,0,-13.0573870172434
305,1,0,-12.61813278873251
306,1,0,-12.339210902284321
307,1,0,-12.672356706034861
308,1,0,-12.621718595789389
309,1,0,-12.30575330877491
310,1,0,-12.268375084644504
311,0,0,138.71758290883463
312,1,0,-0.36378528840168656
313,1,0,-12.471270505452594
314,1,0,-12.414765667283518
315,1,0,-12.292083977972652
316,1,0,-12.399730615958106
317,1,0,-12.536284159128627
318,1,0,-12.407375881918142
319,1,0,-8.841996996395665
320,1,0,-12.581073110819943
321,0,0,314.8674900769943
322,1,0,-9.610923654100588
323,1,0,-12.341728925167445
324,1,0,-12.424439972057826
325,1,0,-12.514879889615713
326,1,0,-12.449130734532446
327,1,0,-12.271592898579911
328,1,0,-12.640873596699748
329,1,0,-12.022172546684487
330,1,0,-6.207552316816873
331,1,0,-12.389994621069036
