gene_index,gene_name,predicted_state,confidence
0,1110007C09Rik,2,1.0
1,1110037F02Rik,2,1.0
2,1500012F01Rik,2,1.0
3,1700021F05Rik,2,1.0
4,1810013L24Rik,2,1.0
5,2610203C20Rik,2,1.0
6,Aasdhppt,2,1.0
7,Abcc1,2,1.0
8,Acadl,2,1.0
9,Acads,2,1.0
10,Acd,2,1.0
11,Acin1,2,1.0
12,Acly,2,1.0
13,Acot7,2,1.0
14,Acsl5,2,1.0
15,Adam12,2,1.0
16,Adam15,2,1.0
17,Adipor2,2,1.0
18,Adra1d,2,1.0
19,Aebp2,2,1.0
20,Afg3l2,2,1.0
21,Aip,2,1.0
22,Akap8,2,1.0
23,Akap9,2,1.0
24,Amdhd2,2,1.0
25,Amfr,2,1.0
26,Anapc4,2,1.0
27,Ankrd27,2,1.0
28,Anp32a,2,1.0
29,Ap3s2,2,1.0
30,Api5,2,1.0
31,Arfgap1,2,1.0
32,Arfip1,2,1.0
33,Arhgef17,2,1.0
34,Arhgef25,2,1.0
35,Arid5b,2,1.0
36,Ash2l,3,1.0
37,Ate1,2,1.0
38,Atoh8,2,1.0
39,Atp13a3,2,1.0
40,Atp6v0a2,2,1.0
41,Bad,2,1.0
42,Bag3,2,1.0
43,Baz1b,2,1.0
44,Bdnf,3,1.0
45,Bet1,2,1.0
46,Bicc1,2,1.0
47,Bid,2,1.0
48,Blcap,2,1.0
49,Blvrb,2,1.0
50,Bms1,2,1.0
51,Bnip3l,2,1.0
52,Bod1l,2,1.0
53,Bop1,2,1.0
54,Bptf,2,1.0
55,Btg1,2,1.0
56,Bysl,2,1.0
57,Camk2g,2,1.0
58,Cant1,2,1.0
59,Carkd,2,1.0
60,Cars,2,1.0
61,Cast,2,1.0
62,Cbfb,2,1.0
63,Cbr3,2,1.0
64,Ccdc107,2,1.0
65,Ccdc109b,2,1.0
66,Ccdc23,2,1.0
67,Ccdc25,2,1.0
68,Ccdc47,2,1.0
69,Ccdc53,2,1.0
70,Ccdc55,2,1.0
71,Ccdc86,2,1.0
72,Ccdc88a,2,1.0
73,Ccnl2,2,1.0
74,Cd3eap,2,1.0
75,Cd47,2,1.0
76,Cdc23,2,1.0
77,Cdc42bpa,2,1.0
78,Cdk11b,2,1.0
79,Cdk5,2,1.0
80,Cdk5rap3,2,1.0
81,Cebpz,2,1.0
82,Cenpb,2,1.0
83,Chid1,2,1.0
84,Chmp2b,2,1.0
85,Chordc1,2,1.0
86,Chst12,2,1.0
87,Cinp,2,1.0
88,Clint1,2,1.0
89,Cltb,2,1.0
90,Cndp2,2,1.0
91,Cnot4,2,1.0
92,Col5a3,2,1.0
93,Commd8,2,1.0
94,Coq10b,2,1.0
95,Coq7,2,1.0
96,Coro1b,2,1.0
97,Cpsf2,2,1.0
98,Cpsf6,2,1.0
99,Cpt1c,3,1.0
100,Crim1,2,1.0
101,Csk,2,1.0
102,Ctsk,2,1.0
103,Ctxn1,2,1.0
104,Cyb5r1,2,1.0
105,Cyp51,2,1.0
106,Cyth2,2,1.0
107,D17Wsu92e,2,1.0
108,Dcaf7,2,1.0
109,Dcbld2,2,1.0
110,Dctn1,2,1.0
111,Ddx21,2,1.0
112,Ddx46,2,1.0
113,Ddx56,2,1.0
114,Dhrs1,2,1.0
115,Dhrs7,2,1.0
116,Dhx15,2,1.0
117,Dhx30,2,1.0
118,Diablo,2,1.0
119,Dlat,2,1.0
120,Dlg1,2,1.0
121,Dnajb1,2,1.0
122,Dnm1l,2,1.0
