gene_index,gene_name,predicted_state,confidence
0,Acta1,3.0,1.0
1,Actg2,2.0,1.0
2,Adamts5,3.0,1.0
3,Bcap31,,1.0
4,Bgn,3.0,1.0
5,Cck,3.0,1.0
6,Ccl8,3.0,1.0
7,Cdk1,2.0,1.0
8,Cnn1,2.0,1.0
9,Crip1,3.0,1.0
10,Cyp1b1,3.0,1.0
11,Dio3,3.0,1.0
12,Efemp1,2.0,1.0
13,Fhl1,3.0,1.0
14,Fis1,3.0,1.0
15,Flna,3.0,1.0
16,Gpx3,2.0,1.0
17,Il1rl1,2.0,1.0
18,Maged1,3.0,1.0
19,Msn,3.0,1.0
20,Mtch2,3.0,1.0
21,Mylk,3.0,1.0
22,Ndufb11,3.0,1.0
23,Ppbp,3.0,1.0
24,Prg4,,1.0
25,Rgs4,3.0,1.0
26,Serpine2,2.0,1.0
27,Sod3,3.0,1.0
28,Spp1,3.0,1.0
29,Srsf7,3.0,1.0
30,Tceal8,3.0,1.0
31,Tgfb3,3.0,1.0
32,Timp1,3.0,1.0
33,Uba1,,1.0
34,Wbp5,3.0,1.0
