gene_index,gene_name,predicted_state,confidence
0,Acta2,3.0,1.0
1,Actn1,3.0,1.0
2,Aebp1,3.0,1.0
3,Ahnak,3.0,1.0
4,Aldoa,3.0,1.0
5,Angptl2,2.0,1.0
6,Anxa1,3.0,1.0
7,Anxa2,3.0,1.0
8,Arpp19,3.0,1.0
9,Bsg,2.0,1.0
10,Cald1,2.0,1.0
11,Calr,2.0,1.0
12,Ccl2,3.0,1.0
13,Ccl7,3.0,1.0
14,Cd81,3.0,1.0
15,Cdkn1a,2.0,1.0
16,Cnn2,3.0,1.0
17,Col1a1,3.0,1.0
18,Col1a2,3.0,1.0
19,Col3a1,,1.0
20,Col4a1,2.0,1.0
21,Col5a1,3.0,1.0
22,Col5a2,3.0,1.0
23,Ctgf,2.0,1.0
24,Ctsb,3.0,1.0
25,Ctsd,3.0,1.0
26,Ctsl,3.0,1.0
27,Cxcl5,3.0,1.0
28,Cyr61,2.0,1.0
29,Dstn,2.0,1.0
30,Ecm1,3.0,1.0
31,Efemp2,3.0,1.0
32,F3,3.0,1.0
33,Fbln2,3.0,1.0
34,Fbn1,3.0,1.0
35,Fn1,3.0,1.0
36,Gadd45g,2.0,1.0
37,Gas6,2.0,1.0
38,Gsn,,1.0
39,Hmgn1,3.0,1.0
40,Hnrnpa2b1,,1.0
41,Hsp90b1,3.0,1.0
42,Hspa5,2.0,1.0
43,Hspa8,3.0,1.0
44,Ifitm3,3.0,1.0
45,Igfbp4,2.0,1.0
46,Igfbp7,3.0,1.0
47,Inhba,3.0,1.0
48,Itm2b,3.0,1.0
49,Ldha,2.0,1.0
50,Lgals1,3.0,1.0
51,Lgals3,2.0,1.0
52,Lmna,2.0,1.0
53,Lox,3.0,1.0
54,Ltbp2,3.0,1.0
55,Malat1,3.0,1.0
56,Mfge8,3.0,1.0
57,Ncl,3.0,1.0
58,Npm1,2.0,1.0
59,Pabpc1,3.0,1.0
60,Pdpn,3.0,1.0
61,Ppap2a,2.0,1.0
62,Prdx1,3.0,1.0
63,Prkcdbp,2.0,1.0
64,Prss23,3.0,1.0
65,Ptx3,2.0,1.0
66,Rcn3,2.0,1.0
67,Rpl13a,2.0,1.0
68,Rps11,3.0,1.0
69,Rps3,3.0,1.0
70,Rps5,3.0,1.0
71,S100a6,3.0,1.0
72,Sepw1,3.0,1.0
73,Serpine1,3.0,1.0
74,Serpinf1,3.0,1.0
75,Serpinh1,3.0,1.0
76,Sparc,3.0,1.0
77,Tagln,3.0,1.0
78,Thbs1,3.0,1.0
79,Timp2,3.0,1.0
80,Timp3,2.0,1.0
81,Tnc,2.0,1.0
82,Tpm1,3.0,1.0
83,Tpm2,3.0,1.0
84,Tubb5,,1.0
85,Vim,3.0,1.0
