gene_index,gene_name,predicted_state,confidence
0,0610009B22Rik,2.0,1.0
1,1110038B12Rik,2.0,1.0
2,1110058L19Rik,2.0,1.0
3,1700123O20Rik,2.0,1.0
4,1810043H04Rik,2.0,1.0
5,1810055G02Rik,2.0,1.0
6,2210016L21Rik,2.0,1.0
7,4833439L19Rik,2.0,1.0
8,9030624J02Rik,2.0,1.0
9,AI413582,2.0,1.0
10,AW549877,2.0,1.0
11,Abce1,2.0,1.0
12,Abcf1,2.0,1.0
13,Abcf2,2.0,1.0
14,Abhd4,2.0,1.0
15,Abi1,2.0,1.0
16,Acat1,2.0,1.0
17,Aco2,2.0,1.0
18,Actr1a,2.0,1.0
19,Actr1b,2.0,1.0
20,Add1,2.0,1.0
21,Adh5,2.0,1.0
22,Adss,2.0,1.0
23,Aga,2.0,1.0
24,Agpat6,2.0,1.0
25,Aimp1,2.0,1.0
26,Aimp2,3.0,1.0
27,Akt1s1,2.0,1.0
28,Aldh2,2.0,1.0
29,Alg5,2.0,1.0
30,Anapc2,2.0,1.0
31,Anapc5,2.0,1.0
32,Ano6,2.0,1.0
33,Anp32b,2.0,1.0
34,Anxa4,2.0,1.0
35,Anxa7,2.0,1.0
36,Ap3d1,2.0,1.0
37,Arcn1,2.0,1.0
38,Arf6,2.0,1.0
39,Arl2,2.0,1.0
40,Arl8b,2.0,1.0
41,Arpc1a,2.0,1.0
42,Arpc5l,2.0,1.0
43,Asap1,2.0,1.0
44,Asph,2.0,1.0
45,Atic,2.0,1.0
46,Atp6v0d1,2.0,1.0
47,Atp6v1c1,2.0,1.0
48,Atp6v1d,2.0,1.0
49,Atp6v1f,2.0,1.0
50,Atxn10,2.0,1.0
51,Atxn7l3b,2.0,1.0
52,Aup1,2.0,1.0
53,Avpi1,2.0,1.0
54,Bag6,3.0,1.0
55,Bak1,2.0,1.0
56,Bbip1,2.0,1.0
57,Bcas2,2.0,1.0
58,Bcat1,2.0,1.0
59,Bccip,2.0,1.0
60,Bckdk,2.0,1.0
61,Bclaf1,2.0,1.0
62,Bud31,2.0,1.0
63,Bzw2,2.0,1.0
64,Cacybp,2.0,1.0
65,Capza2,2.0,1.0
66,Cat,2.0,1.0
67,Cbx5,2.0,1.0
68,Ccar1,2.0,1.0
69,Ccdc127,2.0,1.0
70,Ccdc50,2.0,1.0
71,Ccdc59,2.0,1.0
72,Ccm2,2.0,1.0
73,Ccnd3,2.0,1.0
74,Ccny,2.0,1.0
75,Cdipt,2.0,1.0
76,Cdk7,2.0,1.0
77,Cfdp1,2.0,1.0
78,Chd4,2.0,1.0
79,Chmp4b,2.0,1.0
80,Chmp5,2.0,1.0
81,Chst14,2.0,1.0
82,Chsy1,2.0,1.0
83,Chtf8,2.0,1.0
84,Clns1a,2.0,1.0
85,Clpp,2.0,1.0
86,Clptm1,2.0,1.0
87,Cmtm3,2.0,1.0
88,Cnpy2,2.0,1.0
89,Cnpy4,2.0,1.0
90,Cog4,2.0,1.0
91,Colec12,2.0,1.0
92,Commd2,2.0,1.0
93,Commd4,2.0,1.0
94,Commd6,2.0,1.0
95,Commd7,2.0,1.0
96,Cope,2.0,1.0
97,Cops2,2.0,1.0
98,Cops3,2.0,1.0
99,Cops4,2.0,1.0
100,Cops6,2.0,1.0
101,Cops8,2.0,1.0
102,Cript,2.0,1.0
103,Crk,2.0,1.0
104,Cryzl1,2.0,1.0
105,Cs,2.0,1.0
106,Csgalnact1,2.0,1.0
107,Csnk1a1,2.0,1.0
108,Csnk1d,2.0,1.0
109,Csnk2a2,2.0,1.0
110,Ctdsp2,2.0,1.0
111,Cuedc2,2.0,1.0
112,Cul1,2.0,1.0
113,Cuta,2.0,1.0
114,Cwc15,2.0,1.0
115,Cyb5b,2.0,1.0
116,Cyfip1,2.0,1.0
117,D19Bwg1357e,2.0,1.0
118,Dbnl,2.0,1.0
119,Dcaf13,2.0,1.0
120,Dctn2,2.0,1.0
121,Dctn5,2.0,1.0
122,Dctn6,2.0,1.0
123,Ddx17,2.0,1.0
124,Ddx47,2.0,1.0
125,Derl1,2.0,1.0
126,Dhrs3,2.0,1.0
127,Dld,2.0,1.0
128,Dlst,2.0,1.0
129,Dnajc1,2.0,1.0
130,Dnajc10,2.0,1.0
131,Dnajc7,2.0,1.0
132,Dnm2,2.0,1.0
133,Dpy30,2.0,1.0
134,Drg1,2.0,1.0
135,Drg2,2.0,1.0
136,Dtnbp1,2.0,1.0
137,Dync1li2,2.0,1.0
138,Eef1e1,2.0,1.0
139,Eif4a2,3.0,1.0
140,Eif4a3,2.0,1.0
141,Elavl1,2.0,1.0
142,Enah,2.0,1.0
143,Epb4.1l2,2.0,1.0
144,Ergic2,3.0,1.0
145,Eri3,2.0,1.0
146,Esyt2,2.0,1.0
147,Etf1,2.0,1.0
148,Ethe1,2.0,1.0
149,Ewsr1,2.0,1.0
