gene_index,gene_name,predicted_state,confidence
0,0610031J06Rik,2.0,1.0
1,2010107E04Rik,3.0,1.0
2,2310022B05Rik,2.0,1.0
3,2410015M20Rik,2.0,1.0
4,Aamp,2.0,1.0
5,Actn4,2.0,1.0
6,Adk,2.0,1.0
7,Anxa3,3.0,1.0
8,Anxa5,3.0,1.0
9,Anxa6,3.0,1.0
10,Ap1s1,2.0,1.0
11,App,2.0,1.0
12,Aprt,2.0,1.0
13,Arf4,2.0,1.0
14,Arl6ip5,3.0,1.0
15,Arpc1b,2.0,1.0
16,Arpc4,3.0,1.0
17,Arpc5,2.0,1.0
18,Asns,2.0,1.0
19,Atp5a1,2.0,1.0
20,Atp5b,2.0,1.0
21,Atp5c1,2.0,1.0
22,Atp5e,2.0,1.0
23,Atp5f1,2.0,1.0
24,Atp5g3,2.0,1.0
25,Atp5j2,2.0,1.0
26,Atp6v0e,3.0,1.0
27,Atpif1,3.0,1.0
28,Axl,2.0,1.0
29,Banf1,2.0,1.0
30,Bax,3.0,1.0
31,C1qbp,3.0,1.0
32,Calm1,3.0,1.0
33,Calu,3.0,1.0
34,Canx,2.0,1.0
35,Capg,2.0,1.0
36,Capn2,3.0,1.0
37,Capns1,2.0,1.0
38,Caprin1,3.0,1.0
39,Cav1,2.0,1.0
40,Ccdc80,2.0,1.0
41,Ccnd2,3.0,1.0
42,Ccng1,3.0,1.0
43,Cct2,3.0,1.0
44,Cct5,2.0,1.0
45,Cct8,3.0,1.0
46,Cd44,2.0,1.0
47,Cd9,3.0,1.0
48,Cdc42,2.0,1.0
49,Cdk4,,1.0
50,Chpf,2.0,1.0
51,Cib1,3.0,1.0
52,Clic1,2.0,1.0
53,Clta,3.0,1.0
54,Cnbp,3.0,1.0
55,Col12a1,2.0,1.0
56,Col4a2,2.0,1.0
57,Col6a1,3.0,1.0
58,Cox5a,3.0,1.0
59,Cox6a1,2.0,1.0
60,Cox6c,2.0,1.0
61,Cox7a2,2.0,1.0
