gene_index,gene_name,predicted_state,confidence
0,1810009A15Rik,2.0,1.0
1,1810037I17Rik,2.0,1.0
2,1810058I24Rik,2.0,1.0
3,2210016F16Rik,2.0,1.0
4,2410006H16Rik,2.0,1.0
5,2610001J05Rik,2.0,1.0
6,9530068E07Rik,2.0,1.0
7,Aars,2.0,1.0
8,Actr10,2.0,1.0
9,Actr2,2.0,1.0
10,Actr3,2.0,1.0
11,Adam19,2.0,1.0
12,Adam9,2.0,1.0
13,Adipor1,2.0,1.0
14,Aes,2.0,1.0
15,Ak2,2.0,1.0
16,Akap2,2.0,1.0
17,Alas1,2.0,1.0
18,Aldh18a1,2.0,1.0
19,Aldh7a1,2.0,1.0
20,Anapc16,2.0,1.0
21,Ankrd17,2.0,1.0
22,Ap2b1,2.0,1.0
23,Ap2s1,2.0,1.0
24,Aplp2,2.0,1.0
25,Apoa1bp,2.0,1.0
26,Arhgap1,2.0,1.0
27,Arpc3,2.0,1.0
28,Asah1,2.0,1.0
29,Atox1,2.0,1.0
30,Atp1b3,2.0,1.0
31,Atp2a2,2.0,1.0
32,Atp5o,2.0,1.0
33,Atp6v0b,2.0,1.0
34,Atp6v1a,2.0,1.0
35,Atp6v1e1,2.0,1.0
36,Aurkaip1,2.0,1.0
37,B2m,2.0,1.0
38,BC004004,2.0,1.0
39,BC031181,2.0,1.0
40,Bin1,2.0,1.0
41,Brix1,2.0,1.0
42,Bub3,2.0,1.0
43,Bzw1,2.0,1.0
44,Calm3,2.0,1.0
45,Cap1,2.0,1.0
46,Cct4,2.0,1.0
47,Cct6a,2.0,1.0
48,Cd164,2.0,1.0
49,Cdc123,2.0,1.0
50,Cdc16,2.0,1.0
51,Cdc37,2.0,1.0
52,Cfl2,2.0,1.0
53,Chchd1,3.0,1.0
54,Ckap4,2.0,1.0
55,Clic4,2.0,1.0
56,Cln5,2.0,1.0
57,Clptm1l,2.0,1.0
58,Cltc,3.0,1.0
59,Cmtm7,2.0,1.0
60,Cnn3,2.0,1.0
61,Commd3,3.0,1.0
62,Comt,2.0,1.0
63,Copa,2.0,1.0
64,Copb1,3.0,1.0
65,Copb2,2.0,1.0
66,Cops5,2.0,1.0
67,Cops7a,2.0,1.0
68,Coro1c,2.0,1.0
69,Cox7a2l,2.0,1.0
70,Cox7c,2.0,1.0
71,Cpe,2.0,1.0
72,Creb3,2.0,1.0
73,Crtap,2.0,1.0
74,Csde1,2.0,1.0
75,Ctnna1,2.0,1.0
76,Ctnnb1,2.0,1.0
77,Ctps,2.0,1.0
78,Ctsh,2.0,1.0
79,Cttn,2.0,1.0
80,D17Wsu104e,3.0,1.0
81,Dap,2.0,1.0
82,Dbn1,2.0,1.0
83,Dctn3,2.0,1.0
84,Ddah1,2.0,1.0
85,Ddb1,3.0,1.0
86,Ddr2,3.0,1.0
87,Ddx1,2.0,1.0
88,Ddx24,2.0,1.0
89,Ddx39,2.0,1.0
90,Derl2,2.0,1.0
91,Dlg5,2.0,1.0
92,Dnaja2,2.0,1.0
93,Dnajb11,2.0,1.0
94,Dnajc19,2.0,1.0
95,Dnajc3,2.0,1.0
96,Dnajc8,2.0,1.0
97,Dnlz,3.0,1.0
98,Dnpep,3.0,1.0
99,Drap1,2.0,1.0
100,Dst,2.0,1.0
101,Dync1h1,3.0,1.0
102,Ebna1bp2,2.0,1.0
103,Ece1,2.0,1.0
104,Eftud2,2.0,1.0
105,Ehd2,2.0,1.0
106,Eif3b,2.0,1.0
107,Eif3f,2.0,1.0
108,Eif3h,2.0,1.0
109,Eif3i,2.0,1.0
110,Eif3l,2.0,1.0
111,Eif4b,2.0,1.0
112,Eif4g1,3.0,1.0
113,Eif5,2.0,1.0
114,Elovl1,2.0,1.0
115,Epb4.1l3,2.0,1.0
116,Ephx1,2.0,1.0
117,Eprs,2.0,1.0
118,Ergic1,2.0,1.0
119,Ergic3,2.0,1.0
120,Erp29,2.0,1.0
121,Etfa,2.0,1.0
122,Ext2,2.0,1.0
123,Fam129b,2.0,1.0
124,Fam96b,2.0,1.0
125,Fat1,2.0,1.0
126,Fcf1,2.0,1.0
127,Fkbp9,2.0,1.0
128,Fuca1,2.0,1.0
129,Galnt2,3.0,1.0
130,Gars,2.0,1.0
131,Gdi2,2.0,1.0
132,Gemin7,2.0,1.0
133,Glrx3,2.0,1.0
134,Glrx5,2.0,1.0
135,Gmfb,2.0,1.0
136,Gns,2.0,1.0
137,Gorasp2,2.0,1.0
138,Gpc1,2.0,1.0
139,Gpi1,2.0,1.0
140,Gspt1,2.0,1.0
141,Gtf2h5,2.0,1.0
142,Gusb,2.0,1.0
143,Hdgf,2.0,1.0
144,Hsbp1,2.0,1.0
145,Hsd17b12,2.0,1.0
146,Hspa4,2.0,1.0
147,Hspa9,3.0,1.0
148,Hspg2,2.0,1.0
149,Ier3ip1,2.0,1.0
150,Il6st,3.0,1.0
151,Ilk,2.0,1.0
152,Immt,,1.0
153,Ipo4,2.0,1.0
154,Iqgap1,2.0,1.0
155,Kars,2.0,1.0
156,Kctd10,,1.0
157,Kdelr2,2.0,1.0
158,Kdelr3,2.0,1.0
159,Kif5b,2.0,1.0
160,Krtcap2,2.0,1.0
161,Leprel4,2.0,1.0
162,Leprotl1,2.0,1.0
163,Lgmn,2.0,1.0
164,Lims1,2.0,1.0
165,Lrpap1,2.0,1.0
166,Lrrc59,2.0,1.0
167,Lrrfip1,2.0,1.0
168,Lsm4,2.0,1.0
169,Ltbp3,2.0,1.0
170,Map2k2,2.0,1.0
171,Mapk1,2.0,1.0
172,Mapre1,2.0,1.0
173,Mbnl2,2.0,1.0
174,Mdh1,3.0,1.0
175,Mea1,2.0,1.0
176,Med28,2.0,1.0
177,Metap2,2.0,1.0
178,Metrnl,2.0,1.0
179,Mfap5,2.0,1.0
180,Mfsd1,2.0,1.0
181,Mprip,2.0,1.0
182,Mrfap1,2.0,1.0
183,Mrpl13,2.0,1.0
184,Mrpl28,2.0,1.0
185,Mrpl42,2.0,1.0
186,Mrpl52,2.0,1.0
187,Mrps10,2.0,1.0
188,Mrps16,2.0,1.0
189,Mrps28,2.0,1.0
190,Mrps33,2.0,1.0
191,Mtch1,3.0,1.0
192,Mtpn,2.0,1.0
193,Mxra8,2.0,1.0
194,Myo1c,3.0,1.0
195,Naa20,2.0,1.0
196,Napa,2.0,1.0
197,Ndufb2,2.0,1.0
198,Ndufc2,2.0,1.0
